circuitId,circuitRef,name,location,country,lat,lng,alt,url,circuit_image,country_flag,length
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,https://static.wikia.nocookie.net/f1wikia/images/a/a4/Circuit_Zeltweg.png/revision/latest?cb=20160801085439,https://www.countryflags.com/wp-content/uploads/austria-flag-3d-icon-256.png,3.186 km
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/800px-Circuit_Aintree.svg.png,https://www.countryflags.com/wp-content/uploads/united-kingdom-flag-3d-icon-256.png,4.828 km
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,https://upload.wikimedia.org/wikipedia/commons/a/a2/Circuit_Boavista.png,https://www.countryflags.com/wp-content/uploads/portugal-flag-3d-icon-256.png,4.8 km
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Riverside_International_Raceway_1980_and_1967.svg/1024px-Riverside_International_Raceway_1980_and_1967.svg.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,5.311 km
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Circuit_AVUS.svg/500px-Circuit_AVUS.svg.png,https://www.countryflags.com/wp-content/uploads/germany-flag-3d-icon-256.png,2.66 km
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,https://upload.wikimedia.org/wikipedia/commons/d/de/Circuit_Monsanto.png,https://www.countryflags.com/wp-content/uploads/portugal-flag-3d-icon-256.png,5.44 km
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,https://static.wikia.nocookie.net/automobile/images/6/65/Sebring_International_Raceway.svg.png/revision/latest/scale-to-width-down/1024?cb=20140731002810,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,6.019 km
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ain-Diab.svg/1200px-Ain-Diab.svg.png,https://www.countryflags.com/wp-content/uploads/morocco-flag-3d-icon-256.png,7.603 km
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Circuit_Pescara.svg/982px-Circuit_Pescara.svg.png,https://www.countryflags.com/wp-content/uploads/italy-flag-3d-icon-256.png,Length not found
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Circuit_Bremgarten.svg/1200px-Circuit_Bremgarten.svg.png,https://www.countryflags.com/wp-content/uploads/switzerland-flag-3d-icon-256.png,7.28 km
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,https://upload.wikimedia.org/wikipedia/commons/5/59/Circuit_Pedralbes.png,https://www.countryflags.com/wp-content/uploads/spain-flag-3d-icon-256.png,6.333 km
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,file:///Users/jayraval/Desktop/Screenshot%202025-07-21%20at%204.34.55%20PM.png,https://www.countryflags.com/wp-content/uploads/india-flag-3d-icon-256.png,5.125 km
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/USA_Circuit.webp",https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,5.513 km
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,"https://media.formula1.com/image/upload/c_lfill,w_3392/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Austria_Circuit.webp",https://www.countryflags.com/wp-content/uploads/austria-flag-3d-icon-256.png,4.326 km
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Russia_Circuit.webp",https://www.countryflags.com/wp-content/uploads/russia-flag-3d-icon-256.png,2.313 km
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,"https://media.formula1.com/image/upload/c_lfill,w_3392/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Baku_Circuit.webp",https://www.countryflags.com/wp-content/uploads/azerbaijan-flag-3d-icon-256.png,6.003 km
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg/1200px-Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg.png,https://www.countryflags.com/wp-content/uploads/portugal-flag-3d-icon-256.png,4.653 km
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/1200px-Mugello_Racing_Circuit_track_map_15_turns.svg.png,https://www.countryflags.com/wp-content/uploads/italy-flag-3d-icon-256.png,5.245 km
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Saudi_Arabia_Circuit.webp",https://www.countryflags.com/wp-content/uploads/saudi-arabia-flag-3d-icon-256.png,6.174 km
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Qatar_Circuit.webp",https://www.countryflags.com/wp-content/uploads/qatar-flag-3d-icon-256.png,5.419 km
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Miami_Circuit.webp",https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,5.412 km
